季度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA)
2021Q1,1969.0,2.2,3.45,2.57
2020Q4,1840.0,1.67,2.85,2.07
2020Q3,1739.0,2.26,3.92,2.71
2020Q2,1608.0,0.2,0.52,0.36
2020Q1,1819.0,-0.79,-1.13,-0.82
2019Q4,1865.0,0.45,1.0,0.75
2019Q3,1843.0,2.17,3.24,2.36
2019Q2,1717.0,0.93,1.77,1.3
2019Q1,2022.0,1.42,2.07,1.54
2018Q4,1937.0,0.3,0.52,0.38
2018Q3,1923.0,3.39,4.98,3.54
2018Q2,1725.0,2.45,3.58,2.57
2018Q1,1996.0,2.22,3.26,2.41
2017Q4,1818.0,2.77,4.25,3.09
2017Q3,1666.0,3.1,5.01,3.44
2017Q2,1485.0,1.45,2.84,1.91
2017Q1,1729.0,2.0,3.32,2.32
2016Q4,1612.0,1.51,2.72,1.88
2016Q3,1528.0,2.56,4.94,3.24
2016Q2,1379.0,2.27,4.23,2.74
2016Q1,1451.0,1.16,2.3,1.51
2015Q4,1384.0,1.04,2.19,1.38
2015Q3,1331.0,1.34,2.81,1.72
2015Q2,1253.0,2.09,4.15,2.55
2015Q1,1202.0,0.25,0.63,0.39
2014Q4,1187.0,-1.04,-1.64,-0.99
2014Q3,1249.0,1.27,2.72,1.62
2014Q2,1175.0,0.6,1.32,0.78
