年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,19.46,2.93,13.1,8.95,1.8
2019,17.02,2.11,10.58,7.04,1.5
2018,16.07,2.09,10.13,6.68,1.5
2017,15.31,2.03,10.32,6.88,1.6
2016,13.59,1.9,9.2,6.19,1.5
2015,11.71,1.95,9.82,6.59,1.5
2014,8.8,2.09,10.68,7.15,1.0
2013,9.6,1.73,9.06,5.78,2.5
2012,8.26,1.64,8.73,5.45,1.16
2011,8.35,1.47,8.34,5.36,1.0
2010,7.78,1.35,9.65,6.6,0.5
2009,8.17,1.88,10.82,7.92,1.6
2008,7.51,1.81,10.35,7.82,1.2
2007,6.75,1.77,10.11,7.67,1.25
2006,6.46,2.15,12.75,9.2,1.5
2005,5.53,2.09,11.81,7.59,1.2
2004,4.23,1.66,9.13,4.97,1.0
2003,3.49,1.39,10.58,5.58,1.0
2002,3.03,1.24,9.51,5.24,0.7
2001,2.98,1.41,10.89,6.15,0.7
2000,2.51,1.21,9.2,5.35,0.5
