年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,15887.0,19.97,29.84,20.62,10.0
2019,13333.0,13.32,20.93,15.86,9.5
2018,13766.0,13.54,21.95,17.21,8.0
2017,12334.0,13.23,23.56,17.7,8.0
2016,10720.0,12.89,25.59,18.87,7.0
2015,8943.0,11.82,27.02,19.45,6.0
2014,7052.0,10.18,27.85,19.13,4.5
2013,5182.0,7.26,23.94,16.91,3.0
2012,4084.0,6.42,24.52,19.14,3.0
2011,3222.0,5.18,22.21,18.01,3.0
2010,2658.0,6.24,30.11,24.71,3.0
2009,1819.0,3.45,18.27,15.51,3.0
2008,1701.0,3.86,20.7,17.8,3.0
2007,2189.0,4.14,21.99,18.98,3.03
2006,1971.0,4.93,26.63,22.98,3.0
2005,1428.0,3.79,22.15,18.38,2.5
2004,1137.0,3.97,25.35,20.36,2.0
2003,711.0,2.33,15.12,11.85,0.6
2002,407.9,1.14,7.54,5.71,0.0
2001,375.1,0.83,5.37,3.93,0.0
2000,769.2,5.71,31.43,21.48,0.0
1999,313.8,3.24,19.88,12.51,0.0
1998,241.6,2.54,19.99,11.56,0.0
1997,286.4,4.4,29.56,17.65,0.0
1996,255.2,7.31,45.28,30.51,0.0
1995,191.7,10.48,44.91,31.22,0.0
